Product Name,1 Kg,500 g,250 g,100 g,50 g,25 g,Category
MY WAY HI,5750,2875,1438,600,313,160,
MYSTERIC TOBACCO,23250,11625,5813,2350,1188,600,
NAJDIA,7250,3625,1813,750,388,200,
NARCISO RODRIGUEZ FLEUR MUSC,8000,4000,2000,825,425,220,
NARCISO RODRIGUEZ FOR HER,6500,3250,1625,675,350,180,
NAUTICA VOYAGE,3500,1750,875,375,200,105,
NAXOS,9250,4625,2313,950,488,250,
NEROLI PORTOFINO,7000,3500,1750,725,375,195,
NOBLE MUSK,29250,14625,7313,2950,1488,750,
NOOR,3500,1750,875,375,200,105,
OMBRE LEATHER,11250,5625,2813,1150,588,300,
OMBRE LEATHER HI,6000,3000,1500,625,325,170,
OMBRE LEATHER S,18500,9250,4625,1875,950,480,
OMBRE NOMADE,21250,10625,5313,2150,1088,550,
OMBRE NOMADE HI,8000,4000,2000,825,425,220,
ONE AND ONLY,16000,8000,4000,1625,825,420,
OUD 400 (SYN),12500,6250,3125,1275,650,330,
OUD AFGANO,26500,13250,6625,2675,1350,680,
OUD AL HARAM,16000,8000,4000,1625,825,420,
OUD AL HASHMI,8750,4375,2188,900,463,235,
OUD AL RAFA,12000,6000,3000,1225,625,320,
OUD ALINA,53250,26625,13313,5350,2688,1350,
OUD AND ROSES,24000,12000,6000,2425,1225,620,
OUD AND ROSES HH,12000,6000,3000,1225,625,320,
OUD ARABIA,9250,4625,2313,950,488,250,
OUD ASJAD,24000,12000,6000,2425,1225,620,
OUD ASSAMI #6,8000,4000,2000,825,425,220,
OUD ASSAMI #8,10500,5250,2625,1075,550,280,
OUD BOMBAY,16000,8000,4000,1625,825,420,
OUD CIGAR,7500,3750,1875,775,400,205,
OUD COMBODI (SYN),21250,10625,5313,2150,1088,550,
OUD COMBODI PREMIUM,53250,26625,13313,5350,2688,1350,
OUD FOR GLORY,12000,6000,3000,1225,625,320,
OUD FOR GREATNESS,46500,23250,11625,4675,2350,1180,
OUD FOR GREATNESS L,16000,8000,4000,1625,825,420,
OUD GOLD,8250,4125,2063,850,438,225,
OUD HINDI (SYN),16000,8000,4000,1625,825,420,
OUD HINDI STRONG,26500,13250,6625,2675,1350,680,
OUD ISHFAN,12000,6000,3000,1225,625,320,
OUD KASAK,29250,14625,7313,2950,1488,750,
OUD LAVENDER,16000,8000,4000,1625,825,420,
OUD MADINA,12000,6000,3000,1225,625,320,
OUD MALIKI,18500,9250,4625,1875,950,480,
OUD MARACUJA,6500,3250,1625,675,350,180,
OUD MOHTARAM,16000,8000,4000,1625,825,420,
OUD MOOD,8000,4000,2000,825,425,220,
OUD MUSK NEW,16000,8000,4000,1625,825,420,
OUD OIL PURE 1,1866500,933250,466625,186675,93350,46680,
OUD OIL PURE 2,1333250,666625,333313,133350,66688,33350,
OUD OIL PURE 3,1066500,533250,266625,106675,53350,26680,
OUD PALAO,20000,10000,5000,2025,1025,520,
OUD RIJALI,32000,16000,8000,3225,1625,820,
OUD TARAT,106500,53250,26625,10675,5350,2680,
OUD THAMEEN,16000,8000,4000,1625,825,420,
OUD WOOD,7500,3750,1875,775,400,205,
OUDH WOOD HH,7250,3625,1813,750,388,200,
PACIFIC CHILL HH,9250,4625,2313,950,488,250,
PASHA DE CARTIER,18500,9250,4625,1875,950,480,
PASHA DE CARTIER HI,10000,5000,2500,1025,525,270,
PATEL NECK BLACK,13250,6625,3313,1350,688,350,
PENHALIGON’S HALFETI,9250,4625,2313,950,488,250,
PENHALIGON’S HALFETI HI,6500,3250,1625,675,350,180,
PENHALIGON’S HALFETI LEATHER HI,20000,10000,5000,2025,1025,520,
PEONY BLUSH,3500,1750,875,375,200,105,
PHANTOM,8000,4000,2000,825,425,220,
PHILOSYKOS FPL,6250,3125,1563,650,338,175,
PINK AMBER,9250,4625,2313,950,488,250,
PINK OUD,16000,8000,4000,1625,825,420,
PINK ROSE,7250,3625,1813,750,388,200,
PINK SHIFFON,8000,4000,2000,825,425,220,
PINK SUGAR,4250,2125,1063,450,238,125,
PINK WARM & COZY,5750,2875,1438,600,313,160,
POEM,5500,2750,1375,575,300,155,
POISON,3000,1500,750,325,175,95,
POLO BLUE,5250,2625,1313,550,288,150,
POLO SPORT,4500,2250,1125,475,250,130,
POMEGRANATE NOIR,6500,3250,1625,675,350,180,
PONDS,2500,1250,625,275,150,80,
PRADA LUNA ROSSA,20000,10000,5000,2025,1025,520,
PRADA PARADOX,8000,4000,2000,825,425,220,
PUBERTY,18500,9250,4625,1875,950,480,
PUBERTY STR,40000,20000,10000,4025,2025,1020,
PURPLE OUD,16000,8000,4000,1625,825,420,
PURPLE OUD HH,8000,4000,2000,825,425,220,
PURPLE OUD HI,6500,3250,1625,675,350,180,
PURPLE OUD NEW,12000,6000,3000,1225,625,320,
QAEED AL FURSAN,7250,3625,1813,750,388,200,
QUEEN OF SILK,8000,4000,2000,825,425,220,
RAIHAT AL QATAR,26500,13250,6625,2675,1350,680,
RAJNIGANDHA,5250,2625,1313,550,288,150,
RAMZ,8000,4000,2000,825,425,220,
RAMZ BROWN,8750,4375,2188,900,463,235,
RASASI SECRET,8250,4125,2063,850,438,225,
RASHIKA,4750,2375,1188,500,263,135,
RAT RANI,3250,1625,813,350,188,100,
RAWDHA,13250,6625,3313,1350,688,350,
REAL ROSE HM,6500,3250,1625,675,350,180,
RED TOBACCO,7500,3750,1875,775,400,205,
ROBERTO CAVALLI WOMEN,9250,4625,2313,950,488,250,
ROGER & GALLET OPEN,4500,2250,1125,475,250,130,
ROJA AMBER OUD,24000,12000,6000,2425,1225,620,
ROJA ELISIUM,13250,6625,3313,1350,688,350,
ROJA ELISIUM HG,10500,5250,2625,1075,550,280,
ROJA ELISIUM HL,12000,6000,3000,1225,625,320,
ROJA ELYSIUM HI,5000,2500,1250,525,275,145,
ROMANCE,4000,2000,1000,425,225,120,
