Product Name,1 Kg,500 g,250 g,100 g,50 g,25 g,Category
OUD ASJAD,24000,12000,6000,2425,1225,620,Arabian
OUD ASSAMI #6,8000,4000,2000,825,425,220,Arabian
OUD ASSAMI #8,10500,5250,2625,1075,550,280,Arabian
OUD BOMBAY,16000,8000,4000,1625,825,420,Arabian
OUD CIGAR,7500,3750,1875,775,400,205,Arabian
OUD COMBODI (SYN),21250,10625,5313,2150,1088,550,Arabian
OUD COMBODI PREMIUM,53250,26625,13313,5350,2688,1350,Arabian
OUD FOR GLORY,12000,6000,3000,1225,625,320,Arabian
OUD FOR GREATNESS,46500,23250,11625,4675,2350,1180,Arabian
OUD FOR GREATNESS L,16000,8000,4000,1625,825,420,Arabian
OUD GOLD,8250,4125,2063,850,438,225,Arabian
OUD HINDI (SYN),16000,8000,4000,1625,825,420,Arabian
OUD HINDI STRONG,26500,13250,6625,2675,1350,680,Arabian
OUD ISHFAN,12000,6000,3000,1225,625,320,Arabian
OUD KASAK,29250,14625,7313,2950,1488,750,Arabian
OUD LAVENDER,16000,8000,4000,1625,825,420,Arabian
OUD MADINA,12000,6000,3000,1225,625,320,Arabian
OUD MALIKI,18500,9250,4625,1875,950,480,Arabian
OUD MARACUJA,6500,3250,1625,675,350,180,Arabian
OUD MOHTARAM,16000,8000,4000,1625,825,420,Arabian
OUD MOOD,8000,4000,2000,825,425,220,Arabian
OUD MUSK NEW,16000,8000,4000,1625,825,420,Arabian
OUD OIL PURE 1,1866500,933250,466625,186675,93350,46680,Arabian
OUD OIL PURE 2,1333250,666625,333313,133350,66688,33350,Arabian
OUD OIL PURE 3,1066500,533250,266625,106675,53350,26680,Arabian
OUD PALAO,20000,10000,5000,2025,1025,520,Arabian
OUD RIJALI,32000,16000,8000,3225,1625,820,Arabian
